category,division,image_link,name,brand,price
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34048_01_standard.jpg?sw=280&sfrm=jpg,Ultra Boost Shoes,Adidas,180
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B27171_01_standard.jpg?sw=280&sfrm=jpg,Ultra Boost Shoes,Adidas,180
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34050_01_standard.jpg?sw=280&sfrm=jpg,Ultra Boost Shoes,Adidas,180
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B40269_01_standard.jpg?sw=280&sfrm=jpg,Supernova Glide Boost 7 Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B40267_01_standard.jpg?sw=280&sfrm=jpg,Supernova Glide Boost 7 Shoes,Adidas,130
Originals,Women's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B26722_01_standard.jpg?sw=280&sfrm=jpg,Superstar Up Shoes,Adidas,100
Originals,Women's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B26723_01_standard.jpg?sw=280&sfrm=jpg,Superstar Up Shoes,Adidas,90
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B26779_01_standard.jpg?sw=280&sfrm=jpg,Supernova Glide Boost ATR Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B39826_01_standard.jpg?sw=280&sfrm=jpg,Supernova Sequence Boost 7 Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B39825_01_standard.jpg?sw=280&sfrm=jpg,Supernova Sequence Boost 7 Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B39824_01_standard.jpg?sw=280&sfrm=jpg,Supernova Sequence Boost 7 Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34089_01_standard.jpg?sw=280&sfrm=jpg,Supernova Sequence Boost 7 Wide Shoes,Adidas,130
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25787_01_standard.jpg?sw=280&sfrm=jpg,Tubular Moc Runner Shoes,Adidas,130
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25789_01_standard.jpg?sw=280&sfrm=jpg,Tubular Moc Runner Shoes,Adidas,130
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25788_01_standard.jpg?sw=280&sfrm=jpg,Tubular Moc Runner Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B33700_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost 2.0 Shoes,Adidas,120
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B33701_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost 2.0 Shoes,Adidas,120
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B33703_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost 2.0 Shoes,Adidas,120
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B33704_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost 2.0 Shoes,Adidas,120
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B26813_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B32699_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost Shoes,Adidas,130
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/M20483_01.jpg?sw=280&sfrm=jpg,Pure Boost Shoes,Adidas,120
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B33883_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost Shoes,Adidas,120
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B33884_01_standard.jpg?sw=280&sfrm=jpg,Pure Boost Shoes,Adidas,120
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B23767_01_standard.jpg?sw=280&sfrm=jpg,Messi Pibe de Barr10 10.1 FG Cleats,Adidas,230
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/M19648_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B35637_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B35638_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/M19645_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/M19644_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B35641_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B35642_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B23766_01_standard.jpg?sw=280&sfrm=jpg,Messi Pibe de Barr10 10.3 FG Cleats,Adidas,70
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25952_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25953_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25951_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44227_01_standard.jpg?sw=280&sfrm=jpg,Messi 10.3 IN Shoes,Adidas,70
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B40157_01_standard.jpg?sw=280&sfrm=jpg,Messi 10.3 TF Shoes,Adidas,70
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B23884_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B23886_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34373_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44080_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44083_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44082_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/C76932_01_standard.jpg?sw=280&sfrm=jpg,Seeley Shoes,Adidas,65
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/C76865_01_standard.jpg?sw=280&sfrm=jpg,Busenitz Shoes,Adidas,80
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34583_01_standard.jpg?sw=280&sfrm=jpg,Soccer Primeknit 2.0 FG Cleats,Adidas,300
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/AF6254_01_standard.jpg?sw=280&sfrm=jpg,Primeknit 2.0 Boost,Adidas,150
